x	xend	y	yend	showSelected1
0.5	2.5	-0.689099191816566	-0.689099191816566	8
0.5	2.5	-0.689099191816566	-0.689099191816566	9
0.5	2.5	-0.689099191816566	-0.689099191816566	10
0.5	2.5	-0.689099191816566	-0.689099191816566	11
0.5	2.5	-0.689099191816566	-0.689099191816566	12
0.5	2.5	-0.689099191816566	-0.689099191816566	13
0.5	2.5	-0.689099191816566	-0.689099191816566	14
0.5	2.5	-0.689099191816566	-0.689099191816566	15
0.5	2.5	-0.689099191816566	-0.689099191816566	16
0.5	2.5	-0.689099191816566	-0.689099191816566	17
0.5	2.5	-0.689099191816566	-0.689099191816566	18
0.5	2.5	-0.689099191816566	-0.689099191816566	19
0.5	2.5	-0.689099191816566	-0.689099191816566	20
0.5	2.5	-0.689099191816566	-0.689099191816566	21
0.5	2.5	-0.689099191816566	-0.689099191816566	22
0.5	2.5	-0.689099191816566	-0.689099191816566	23
0.5	2.5	-0.689099191816566	-0.689099191816566	24
0.5	2.5	-0.689099191816566	-0.689099191816566	25
0.5	10.5	-0.571589292018503	-0.571589292018503	5
0.5	10.5	-0.571589292018503	-0.571589292018503	6
0.5	10.5	-0.571589292018503	-0.571589292018503	7
0.5	20.5	-0.171972582101813	-0.171972582101813	4
0.5	30.5	-0.426658941473083	-0.426658941473083	2
0.5	30.5	-0.426658941473083	-0.426658941473083	3
0.5	50.5	0.260653639891282	0.260653639891282	1
2.5	5.5	-0.466925730528553	-0.466925730528553	13
2.5	5.5	-0.466925730528553	-0.466925730528553	14
2.5	5.5	-0.466925730528553	-0.466925730528553	15
2.5	5.5	-0.466925730528553	-0.466925730528553	16
2.5	5.5	-0.466925730528553	-0.466925730528553	17
2.5	5.5	-0.466925730528553	-0.466925730528553	18
2.5	5.5	-0.466925730528553	-0.466925730528553	19
2.5	5.5	-0.466925730528553	-0.466925730528553	20
2.5	5.5	-0.466925730528553	-0.466925730528553	21
2.5	5.5	-0.466925730528553	-0.466925730528553	22
2.5	5.5	-0.466925730528553	-0.466925730528553	23
2.5	5.5	-0.466925730528553	-0.466925730528553	24
2.5	5.5	-0.466925730528553	-0.466925730528553	25
2.5	10.5	-0.532419325419149	-0.532419325419149	8
2.5	10.5	-0.532419325419149	-0.532419325419149	9
2.5	10.5	-0.532419325419149	-0.532419325419149	10
2.5	10.5	-0.532419325419149	-0.532419325419149	11
2.5	10.5	-0.532419325419149	-0.532419325419149	12
5.5	7.5	-0.577710905499484	-0.577710905499484	21
5.5	7.5	-0.577710905499484	-0.577710905499484	22
5.5	7.5	-0.577710905499484	-0.577710905499484	23
5.5	7.5	-0.577710905499484	-0.577710905499484	24
5.5	7.5	-0.577710905499484	-0.577710905499484	25
5.5	10.5	-0.565166122864447	-0.565166122864447	13
5.5	10.5	-0.565166122864447	-0.565166122864447	14
5.5	10.5	-0.565166122864447	-0.565166122864447	15
5.5	10.5	-0.565166122864447	-0.565166122864447	16
5.5	10.5	-0.565166122864447	-0.565166122864447	17
5.5	10.5	-0.565166122864447	-0.565166122864447	18
5.5	10.5	-0.565166122864447	-0.565166122864447	19
5.5	10.5	-0.565166122864447	-0.565166122864447	20
7.5	10.5	-0.552621340229411	-0.552621340229411	21
7.5	10.5	-0.552621340229411	-0.552621340229411	22
7.5	10.5	-0.552621340229411	-0.552621340229411	23
7.5	10.5	-0.552621340229411	-0.552621340229411	24
7.5	10.5	-0.552621340229411	-0.552621340229411	25
10.5	14.5	0.222627647863225	0.222627647863225	19
10.5	14.5	0.222627647863225	0.222627647863225	20
10.5	14.5	0.222627647863225	0.222627647863225	21
10.5	14.5	0.222627647863225	0.222627647863225	22
10.5	14.5	0.222627647863225	0.222627647863225	23
10.5	14.5	0.222627647863225	0.222627647863225	24
10.5	14.5	0.222627647863225	0.222627647863225	25
10.5	17.5	0.200888805591892	0.200888805591892	15
10.5	17.5	0.200888805591892	0.200888805591892	16
10.5	17.5	0.200888805591892	0.200888805591892	17
10.5	17.5	0.200888805591892	0.200888805591892	18
10.5	20.5	0.227644127814877	0.227644127814877	5
10.5	20.5	0.227644127814877	0.227644127814877	6
10.5	20.5	0.227644127814877	0.227644127814877	7
10.5	20.5	0.227644127814877	0.227644127814877	8
10.5	20.5	0.227644127814877	0.227644127814877	9
10.5	20.5	0.227644127814877	0.227644127814877	10
10.5	20.5	0.227644127814877	0.227644127814877	11
10.5	20.5	0.227644127814877	0.227644127814877	12
10.5	20.5	0.227644127814877	0.227644127814877	13
10.5	20.5	0.227644127814877	0.227644127814877	14
14.5	17.5	0.179149963320559	0.179149963320559	19
14.5	17.5	0.179149963320559	0.179149963320559	20
14.5	17.5	0.179149963320559	0.179149963320559	21
