xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	group
0.5	1.5	1	segments	1	segments	1	1
1.5	2.5	2 1	segments	2	segments	1	266
2.5	3.5	3 1	segments	3	segments	1	434
3.5	4.5	4 1	segments	4	segments	1	458
4.5	5.5	5 1	segments	5	segments	1	482
5.5	6.5	6 1	segments	6	segments	1	506
6.5	7.5	7 1	segments	7	segments	1	530
7.5	8.5	8 1	segments	8	segments	1	554
8.5	9.5	9 1	segments	9	segments	1	578
9.5	10.5	10 1	segments	10	segments	1	26
10.5	11.5	11 1	segments	11	segments	1	50
11.5	12.5	12 1	segments	12	segments	1	74
12.5	13.5	13 1	segments	13	segments	1	98
13.5	14.5	14 1	segments	14	segments	1	122
14.5	15.5	15 1	segments	15	segments	1	146
15.5	16.5	16 1	segments	16	segments	1	170
16.5	17.5	17 1	segments	17	segments	1	194
17.5	18.5	18 1	segments	18	segments	1	218
18.5	19.5	19 1	segments	19	segments	1	242
19.5	20.5	20 1	segments	20	segments	1	290
20.5	21.5	21 1	segments	21	segments	1	314
21.5	22.5	22 1	segments	22	segments	1	338
22.5	23.5	23 1	segments	23	segments	1	362
23.5	24.5	24 1	segments	24	segments	1	386
24.5	25.5	25 1	segments	25	segments	1	410
0.5	1.5	1 2	segments	1	segments	2	12
1.5	2.5	1	segments	2	segments	2	1
2.5	3.5	3 2	segments	3	segments	2	445
3.5	4.5	4 2	segments	4	segments	2	469
4.5	5.5	5 2	segments	5	segments	2	493
5.5	6.5	6 2	segments	6	segments	2	517
6.5	7.5	7 2	segments	7	segments	2	541
7.5	8.5	8 2	segments	8	segments	2	565
8.5	9.5	9 2	segments	9	segments	2	589
9.5	10.5	10 2	segments	10	segments	2	36
10.5	11.5	11 2	segments	11	segments	2	60
11.5	12.5	12 2	segments	12	segments	2	84
12.5	13.5	13 2	segments	13	segments	2	108
13.5	14.5	14 2	segments	14	segments	2	132
14.5	15.5	15 2	segments	15	segments	2	156
15.5	16.5	16 2	segments	16	segments	2	180
16.5	17.5	17 2	segments	17	segments	2	204
17.5	18.5	18 2	segments	18	segments	2	228
18.5	19.5	19 2	segments	19	segments	2	252
19.5	20.5	20 2	segments	20	segments	2	301
20.5	21.5	21 2	segments	21	segments	2	325
21.5	22.5	22 2	segments	22	segments	2	349
22.5	23.5	23 2	segments	23	segments	2	373
23.5	24.5	24 2	segments	24	segments	2	397
24.5	25.5	25 2	segments	25	segments	2	421
0.5	1.5	1 3	segments	1	segments	3	19
1.5	2.5	2 3	segments	2	segments	3	283
2.5	3.5	1	segments	3	segments	3	1
3.5	4.5	4 3	segments	4	segments	3	476
4.5	5.5	5 3	segments	5	segments	3	500
5.5	6.5	6 3	segments	6	segments	3	524
6.5	7.5	7 3	segments	7	segments	3	548
7.5	8.5	8 3	segments	8	segments	3	572
8.5	9.5	9 3	segments	9	segments	3	596
9.5	10.5	10 3	segments	10	segments	3	43
10.5	11.5	11 3	segments	11	segments	3	67
11.5	12.5	12 3	segments	12	segments	3	91
12.5	13.5	13 3	segments	13	segments	3	115
13.5	14.5	14 3	segments	14	segments	3	139
14.5	15.5	15 3	segments	15	segments	3	163
15.5	16.5	16 3	segments	16	segments	3	187
16.5	17.5	17 3	segments	17	segments	3	211
17.5	18.5	18 3	segments	18	segments	3	235
18.5	19.5	19 3	segments	19	segments	3	259
19.5	20.5	20 3	segments	20	segments	3	307
20.5	21.5	21 3	segments	21	segments	3	331
21.5	22.5	22 3	segments	22	segments	3	355
22.5	23.5	23 3	segments	23	segments	3	379
23.5	24.5	24 3	segments	24	segments	3	403
24.5	25.5	25 3	segments	25	segments	3	427
0.5	1.5	1 4	segments	1	segments	4	20
1.5	2.5	2 4	segments	2	segments	4	284
2.5	3.5	3 4	segments	3	segments	4	452
3.5	4.5	1	segments	4	segments	4	1
4.5	5.5	5 4	segments	5	segments	4	501
5.5	6.5	6 4	segments	6	segments	4	525
6.5	7.5	7 4	segments	7	segments	4	549
7.5	8.5	8 4	segments	8	segments	4	573
8.5	9.5	9 4	segments	9	segments	4	597
9.5	10.5	10 4	segments	10	segments	4	44
10.5	11.5	11 4	segments	11	segments	4	68
11.5	12.5	12 4	segments	12	segments	4	92
12.5	13.5	13 4	segments	13	segments	4	116
13.5	14.5	14 4	segments	14	segments	4	140
14.5	15.5	15 4	segments	15	segments	4	164
15.5	16.5	16 4	segments	16	segments	4	188
16.5	17.5	17 4	segments	17	segments	4	212
17.5	18.5	18 4	segments	18	segments	4	236
18.5	19.5	19 4	segments	19	segments	4	260
19.5	20.5	20 4	segments	20	segments	4	308
20.5	21.5	21 4	segments	21	segments	4	332
21.5	22.5	22 4	segments	22	segments	4	356
